,MPG,FG%,FT%,3PTM,PTS,REB,AST,ST,BLK,TO,FTM,FTA,FGM,FGA
B. Beal,35.7,0.485,0.889,2.2,31.3,4.7,4.4,1.2,0.4,-3.1,6.8,7.7,11.2,23.0
S. Curry,28.73333333333333,0.467,0.8959999999999999,2.2,12.5,2.4,2.7,0.8,0.1,-1.1,1.2,1.4,4.5,9.7
D. Mitchell,,,,,,,,,,,,,,
J. Tatum,35.766666666666666,0.459,0.868,2.9,26.4,7.4,4.3,1.2,0.5,-2.7,4.6,5.3,9.5,20.6
L. Doncic,34.21666666666667,0.479,0.73,2.9,27.7,8.0,8.6,1.0,0.5,-4.3,5.2,7.1,9.8,20.5
K. Irving,34.93333333333333,0.506,0.922,2.8,26.9,4.8,6.0,1.4,0.7,-2.4,3.7,4.0,10.2,20.1
N. Vucevic,33.5,0.477,0.84,2.5,23.4,11.7,3.8,0.9,0.7,-1.8,1.9,2.2,9.5,19.9
D. Lillard,35.766666666666666,0.451,0.928,4.1,28.8,4.2,7.5,0.9,0.3,-3.0,6.7,7.2,9.0,19.9
Z. LaVine,35.1,0.507,0.8490000000000001,3.4,27.4,5.0,4.9,0.8,0.5,-3.5,4.4,5.1,9.8,19.4
D. Booker,33.9,0.484,0.867,1.9,25.6,4.2,4.3,0.8,0.2,-3.1,5.1,5.9,9.3,19.2
J. Brown,34.5,0.484,0.764,2.8,24.7,6.0,3.4,1.2,0.6,-2.7,3.3,4.3,9.3,19.2
D. Fox,35.1,0.477,0.7190000000000001,1.8,25.2,3.5,7.2,1.5,0.5,-3.0,5.2,7.2,9.1,19.1
R. Westbrook,36.45,0.439,0.6559999999999999,1.3,22.2,11.5,11.7,1.4,0.4,-4.8,4.2,6.4,8.4,19.0
C. McCollum,34.05,0.458,0.812,3.6,23.1,3.9,4.7,0.9,0.4,-1.4,2.3,2.8,8.6,18.8
J. Randle,37.55,0.456,0.8109999999999999,2.3,24.1,10.2,6.0,0.9,0.3,-3.4,4.9,6.0,8.5,18.6
C. Sexton,35.21666666666667,0.475,0.815,1.6,24.3,3.1,4.4,1.0,0.2,-2.8,5.2,6.4,8.8,18.4
L. James,33.3,0.513,0.698,2.3,25.0,7.7,7.8,1.1,0.6,-3.7,4.0,5.7,9.4,18.3
J. Wall,32.2,0.404,0.7490000000000001,2.0,20.6,3.2,6.9,1.1,0.8,-3.5,4.0,5.3,7.3,18.2
B. Ingram,34.21666666666667,0.466,0.878,2.3,23.8,4.9,4.9,0.7,0.6,-2.5,4.6,5.2,8.4,18.0
G. Antetokounmpo,32.95,0.569,0.685,1.1,28.1,11.0,5.9,1.2,1.2,-3.4,6.5,9.5,10.3,18.0
N. Jokic,34.53333333333333,0.5660000000000001,0.868,1.3,26.4,10.8,8.3,1.3,0.7,-3.1,4.8,5.5,10.2,18.0
T. Young,24.316666666666666,0.5589999999999999,0.628,0.2,12.1,6.2,4.3,1.1,0.6,-2.0,1.0,1.7,5.4,9.7
J. Embiid,31.16666666666667,0.513,0.8590000000000001,1.1,28.5,10.6,2.8,1.0,1.4,-3.1,9.2,10.7,9.0,17.6
P. George,33.8,0.467,0.868,3.2,23.3,6.6,5.2,1.1,0.4,-3.3,3.7,4.2,8.2,17.6
V. Oladipo,32.666666666666664,0.408,0.754,2.4,19.8,4.8,4.6,1.4,0.4,-2.5,3.2,4.2,7.1,17.5
K. Towns,33.73333333333333,0.486,0.8590000000000001,2.4,24.8,10.6,4.5,0.8,1.1,-3.2,5.3,6.2,8.5,17.5
M. Brogdon,34.516666666666666,0.454,0.8640000000000001,2.6,21.2,5.3,5.9,0.9,0.3,-2.1,2.7,3.2,7.9,17.5
K. Leonard,34.05,0.512,0.885,1.9,24.8,6.5,5.2,1.6,0.4,-2.0,5.0,5.7,8.9,17.5
J. Grant,33.86666666666667,0.429,0.845,2.1,22.3,4.6,2.8,0.6,1.1,-2.0,5.4,6.4,7.4,17.3
C. LeVert,31.66666666666667,0.441,0.8109999999999999,1.8,20.2,4.6,5.2,1.4,0.6,-2.2,3.1,3.8,7.6,17.3
